"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001509345","작별하지 않는다 :한강 장편소설","한강 지음","문학동네","2021","9788954682152","8","30"
"000001297078","여행의 이유 :김영하 산문","김영하 지음","문학동네","2019","9788954655972","8","23"
"000000273031","희랍어 시간 :한강 장편소설","한강 지음","문학동네","2011","9788954616515","8","22"
"000001222932","흰 :한강 소설","한강 지음","문학동네","2018","9788954651134","8","22"
"000000993834","바깥은 여름 :김애란 소설","김애란 [지음]","문학동네","2017","9788954646079","8","17"
"000001508624","지구 끝의 온실 :김초엽 장편소설","김초엽 지음","Giant Books(자이언트북스)","2021","9791191824001","8","17"
"000001481845","미드나잇 라이브러리","매트 헤이그 지음","인플루엔셜","2021","9791191056556","8","16"
"000000034286","채식주의자 :한강 연작소설","한강 지음","창비","2007","9788936433598","8","16"
"000001318628","대도시의 사랑법 :박상영 연작소설","박상영 지음","창비","2019","9788936437978","8","15"
"000001485420","불편한 편의점 :김호연 장편소설","김호연 지음","나무옆의자","2021","9791161571188","8","15"
"000001737546","나라를 위해서 일한다는 거짓말 :한국 공직사회는 왜 그토록 무능해졌는가","노한동 지음","Sideways(사이드웨이)","2024","9791191998375","3","14"
"000000007811","바람이 분다, 가라 :한강 장편소설","한강 지음","문학과지성사","2010","9788932020006","8","14"
"000001526996","H마트에서 울다","미셸 자우너 지음","문학동네","2022","9788954683371","8","13"
"000001051179","검은 사슴 :한강 장편소설","한강 지음","문학동네","2017","9788954648905","8","13"
"000001348836","달리기를 말할 때 내가 하고 싶은 이야기 =What I talk about when I talk about running","무라카미 하루키 지음","문학사상","2009","9788970128337","8","13"
"000000308691","모순 :양귀자 장편소설","양귀자 지음","쓰다","2013","9788998441012","8","13"
"000001563027","불편한 편의점 :김호연 장편소설 .2","김호연 지음","나무옆의자","2022","9791161571379","8","13"
"000000298646","브람스를 좋아하세요..","프랑수아즈 사강 지음","민음사","2011","9788937461798","8","13"
"000001311391","이기적 유전자","리처드 도킨스 지음","을유문화사","2018","9788932473901","4","13"
"000001634788","(흔한남매의) 흔한 호기심 :일상에서 만나는 과학 상식 .9","흔한남매 원작","MiraeN아이세움: 미래엔","2023","9791168415409","4","12"
"000001473627","긴긴밤","루리 글?그림","문학동네","2021","9788954677158","8","12"
"000000270510","나미야 잡화점의 기적 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2012","9788972756194","8","12"
"000001550988","내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업","비욘 나티코 린데블라드 지음","다산초당 : 다산북스","2022","9791130689890","2","12"
"000001550979","당신은 결국 무엇이든 해내는 사람 :김상현 에세이","김상현 지음","필름: 필름(Feelm) 출판사","2022","9791188469994","8","12"
"000001633594","맡겨진 소녀 :클레어 키건 소설","클레어 키건 지음","다산책방 : 다산북스","2023","9791130698199","8","12"
"000001644184","설자은, 금성으로 돌아오다 :정세랑 장편소설","정세랑 지음","문학동네","2023","9788954695978","8","12"
"000001484855","순례주택 :유은실 소설","유은실 지음","비룡소","2021","9788949123493","8","12"
"000000002196","예지몽 :히가시노 게이고 소설","히가시노 게이고 [지음]","재인","2009","9788990982315","8","12"
"000001485574","완전한 행복 :정유정 장편소설","정유정 지음","은행나무","2021","9791167370280","8","12"
"000001555843","최재천의 공부 :어떻게 배우며 살 것인가","최재천","김영사","2022","9788934943457","3","12"
"000001397272","칵테일, 러브, 좀비","조예은 지음","안전가옥","2020","9791190174756","8","12"
"000001332798","코스모스 :특별판","칼 세이건 지음","사이언스북스","2006","9788983711892","4","12"
"000001314638","가재가 노래하는 곳 :델리아 오언스 장편소설","델리아 오언스 [지음]","살림 : 살림출판사","2019","9788952240569","8","11"
"000001575427","나주에 대하여 :김화진 소설","김화진 지음","문학동네","2022","9788954688994","8","11"
"000001462551","돈의 심리학 :당신은 왜 부자가 되지 못했는가","모건 하우절 지음","인플루엔셜","2021","9791191056372","3","11"
"000001569980","마흔에 읽는 니체 :지금 이 순간을 살기 위한 철학 수업: Nietzsche","장재형 지음","유노북스: 유노콘텐츠그룹","2022","9791192300245","1","11"
"000001220440","부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판","로버트 기요사키 지음","민음인","2018","9791158883591","3","11"
"000001674397","삼체 .1부 ,삼체문제 =The three body","류츠신 지음","자음과모음","2020","9788954442695","8","11"
"000001397012","소년과 두더지와 여우와 말","찰리 맥커시 글?그림","상상의 힘","2020","9788997381678","8","11"
"000001301478","여수의 사랑 :한강 소설집","한강 지음","문학과지성사","2018","9788932034812","8","11"
"000001649398","이처럼 사소한 것들 :클레어 키건 소설","클레어 키건 지음","다산책방: 다산북스","2023","9791130646381","8","11"
"000001718974","탕비실 :이미예 소설","이미예 지음","한끼 : 오팬하우스","2024","9791198809940","8","11"
"000001058983","파친코 :이민진 장편소설 .1","이민진 지음","문학사상","2018","9788970129815","8","11"
"000001481864","프로젝트 헤일메리","앤디 위어 지음","RHK(알에이치코리아)","2021","9788925588735","8","11"
"000001008112","해가 지는 곳으로 :최진영 장편소설","최진영 [지음]","민음사","2017","9788937473166","8","11"
