도서명,저자명,출판사,출판년도,ISBN,주제분류,KDC코드
나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,문학 > 일본문학 > 소설,833.6
7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,9788956604992,문학 > 한국문학 > 소설,813.7
창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,2013,9788932916194,문학 > 독일문학 > 기타 게르만 문학,859.7
"스물아홉 생일, 1년 후 죽기로 결심했다 ",하야마 아마리 지음 ;장은주 옮김,위즈덤하우스,2012,9788959136896,문학 > 일본문학 > 르포르타주 및 기타,838
빅 픽처 :더글라스 케네디 장편소설 ,지은이: 더글라스 케네디 ;옮긴이: 조동섭,밝은 세상,2010,9788984371026,문학 > 영미문학 > 소설,843.5
미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김",인플루엔셜,2014,9788996991342,철학 > 심리학 > 응용심리학 일반,189.2
미 비포 유 ,조조 모예스 지음 ;김선형 옮김,살림,2013,9788952227829,문학 > 영미문학 > 소설,843.6
정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,9788965744023,문학 > 한국문학 > 소설,813.62
꾸뻬 씨의 행복 여행,프랑수아 를로르 지음;오유란 옮김,오래된미래,2004,9788995501443,문학 > 프랑스문학 > 소설,863
내일 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2013,9788984371286,문학 > 프랑스문학 > 소설,863
어떤 하루 ,신준모 지음 ;김진희 그림,프롬북스,2014,9788993734348,문학 > 한국문학 > 르포르타주 및 기타,818
종이 여자 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 전미연,밝은세상,2010,9788984371071,문학 > 프랑스문학 > 소설,863
살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,9788954622035,문학 > 한국문학 > 소설,813.62
1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009,9788954608640,문학 > 일본문학 > 소설,833.6
"멈추면, 비로소 보이는 것들 :혜민 스님과 함께하는 내 마음 다시보기 ",혜민 지음 ;우창헌 그림,쌤앤파커스,2012,9788965700609,문학 > 한국문학 > 르포르타주 및 기타,818
여덟 단어 :인생을 대하는 우리의 자세 ,박웅현 지음,북하우스 퍼블리셔스,2013,9788956056531,문학 > 한국문학 > 르포르타주 및 기타,818
버티는 삶에 관하여 :허지웅 에세이 ,허지웅 지음,문학동네,2014,9788954625883,문학 > 한국문학 > 르포르타주 및 기타,818
구해줘:기욤 뮈소 장편소설,기욤 뮈소 지음;윤미연 옮김,밝은세상,2006,9788984370753,문학 > 프랑스문학 > 소설,863
여자 없는 남자들 :무라카미 하루키 소설 ,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2014,9788954625586,문학 > 일본문학 > 소설,833.6
가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2014,9788990982575,문학 > 일본문학 > 소설,833.6
28 :정유정 장편소설 ,지은이: 정유정,은행나무,2013,9788956607030,문학 > 한국문학 > 소설,813.7
센트럴 파크 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2014,9788984371446,문학 > 프랑스문학 > 소설,863
정의란 무엇인가 ,저자: 마이클 샌델 ;역자: 이창신,김영사,2010,9788934939603,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",193
하버드 새벽 4시 반 =최고의 대학이 청춘에게 들려주는 성공 습관 /Harvard's 4:30 A.M. ,웨이슈잉 지음 ;이정은 옮김,라이스메이커,2014,9791185392080,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",199.1
엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,2008,9788936433673,문학 > 한국문학 > 소설,813.6
상실의 시대 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 유유정,문학사상,2011,9788970123691,문학 > 일본문학 > 소설,833.6
1cm+ =우리 인생에 더하고 싶은 1cm의 □를 찾아서 /일 센티 플러스 ,글: 김은주 ;그림: 양현정,백도씨,2013,9788968330124,문학 > 한국문학 > 르포르타주 및 기타,818
백설공주에게 죽음을 ,넬레 노이하우스 지음 ;김진아 옮김,북로드,2011,9788991239685,문학 > 독일문학 > 소설,853
제3인류 :베르나르 베르베르 장편소설 ,베르나르 베르베르 지음 ;전미연 옮김,열린책들,,9788932916378,문학 > 프랑스문학 > 소설,863
공허한 십자가 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 이선희,자음과모음,2014,9788957078150,문학 > 일본문학 > 소설,833.6
"당신, 거기 있어줄래요?:기욤 뮈소 장편소설",기욤 뮈소 [지음];전미연 옮김,밝은세상,2007,9788984370791,문학 > 프랑스문학 > 소설,863
보통의 존재 :이석원 산문집 ,글: 이석원,달,2010,9788993928037,문학 > 한국문학 > 수필,814.7
미생 :아직 살아 있지 못한 자,지은이: 윤태호,위즈덤하우스 미디어그룹,2018,9788960865563,문학 > 한국문학 > 한국문학,810
7년 후 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 임호경,밝은세상,2012,9788984371200,문학 > 프랑스문학 > 소설,863
정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,9788965744030,문학 > 한국문학 > 소설,813.62
용의자 X의 헌신,히가시노 게이고 지음;양억관 옮김,현대문학,2006,9788972753698,문학 > 일본문학 > 소설,833.6
혼자의 발견 ,지은이: 곽정은,달,2014,9788993928792,문학 > 한국문학 > 르포르타주 및 기타,818
(강신주의) 감정수업 :스피노자와 함께 배우는 인간의 48가지 얼굴 ,지은이: 강신주,민음사,2013,9788937488351,철학 > 심리학 > 각론,181.7
싸드 =김진명 장편소설 /THAAD ,지은이: 김진명,새움,2014,9788993964844,문학 > 한국문학 > 소설,813.62
고래:천명관 장편소설,천명관 지음,문학동네,2004,9788982819278,문학 > 한국문학 > 소설,813.6
천사의 부름 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 전미연,밝은세상,2011,9788984371125,문학 > 프랑스문학 > 소설,863
너는 나에게 상처를 줄 수 없다 :쉽게 상처받는 사람들을 위한 관계 심리학 ,배르벨 바르데츠키 지음 ;두행숙 옮김,웅진씽크빅,2013,9788901161198,철학 > 심리학 > 응용심리학 일반,189.2
왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,문학 > 영미문학 > 소설,843
"그래도, 사랑 :언젠가 너로 인해 울게 될 것을 알지만 ",정현주 지음,중앙북스,2013,9788927804789,문학 > 한국문학 > 르포르타주 및 기타,818
두근두근 내 인생 :김애란 장편소설 ,지은이: 김애란,창비,2011,9788936433871,문학 > 한국문학 > 소설,813.7
클로즈업 오사카 =교토·고베·나라 /Close up Osaka ,"유재우,손미경 지음",에디터,2010,9788992037686,역사 > 지리 > 아시아지리,981.32802
미생 :아직 살아 있지 못한 자,지은이: 윤태호,위즈덤하우스 미디어그룹,2018,9788960865594,문학 > 한국문학 > 한국문학,810
(조선의 마지막 황녀) 덕혜옹주 :권비영 장편소설 ,지은이: 권비영,다산북스,2010,9788963700342,문학 > 한국문학 > 소설,813.7
책은 도끼다 :박웅현 인문학 강독회 ,지은이: 박웅현,북하우스,2018,9788956055466,"총류 > 총류 > 지식, 학문 일반",001.3
내 심장을 쏴라 :정유정 장편소설 ,지은이: 정유정,은행나무,2009,9788956602998,문학 > 한국문학 > 소설,813.6
정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,9788965744047,문학 > 한국문학 > 소설,813.62
나는 까칠하게 살기로 했다 :상처받지 않고 사람을 움직이는 관계의 심리학 ,양창순 지음,센추리원,2012,9788996746416,철학 > 심리학 > 응용심리학 일반,189.2
바람이 분다 당신이 좋다 :이병률 여행산문집 ,지은이: 이병률,달출판사,2012,9788993928488,문학 > 한국문학 > 르포르타주 및 기타,818
지적 대화를 위한 넓고 얕은 지식,채사장 지음,한빛비즈,2014,9788994120966,"총류 > 총류 > 지식, 학문 일반",001.3
"총, 균, 쇠 :무기·병균·금속은 인류의 운명을 어떻게 바꿨는가 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상사,2005,9788970127248,"사회과학 > 풍속, 민속학 > 민족학",389
연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,2001,9788982814471,문학 > 스페인문학 > 포르투갈문학,879
