,brand,store,sido,gungu,address,phone
0,pelicana,당산점,서울,영등포구,서울 영등포구 선유로53길10,02-2633-9282
1,pelicana,루원시티점,인천,서구,인천 서구 청중로478번길24,032-566-3977
2,pelicana,안정점,경남,통영시,경남 통영시 광도면 안정1길42,055-649-5585
3,pelicana,의정부중앙점,경기,의정부시,경기 의정부시 태평로135,031-848-3999
4,pelicana,대구상동점,대구,수성구,대구 수성구 상화로47,053-768-7776
5,pelicana,미아역점,서울,강북구,서울 강북구 도봉로146,02-981-8888
6,pelicana,범박점,경기,부천시,경기 부천시 소사구 양지남로51번길7-7,032-344-1145
7,pelicana,송도레이크점,인천,연수구,인천 연수구 아카데미로312번길177,032-833-8323
8,pelicana,부산역점,부산,동구,부산 동구 초량로 46-2 (초량동),051-441-7922
9,pelicana,자양우송대점,대전,동구,대전 동구 대동로12,042-622-5144
10,pelicana,신대점,전남,순천시,전남 순천시 해룡면 신대로10,061-727-9282
11,pelicana,성주가천점,경북,성주군,경북 성주군 가천면 창금로317,054-932-9282
12,pelicana,본리점,대구,달서구,대구 달서구 구마로230,053-652-5222
13,pelicana,별내점,경기,남양주시,경기 남양주시 별내동1007-4,031-528-1282
14,pelicana,대련점,경북,포항시,경북 포항시 북구 흥해읍 연화길12,054-261-4327
15,pelicana,대구중리점,대구,서구,대구 서구 국채보상로34길12,053-559-9989
16,pelicana,노은점,대전,유성구,대전 유성구 은구비남로33번길5,042-710-8989
17,pelicana,고곡점,경남,창녕군,경남 창녕군 남지읍 고곡길2,055-536-3710
18,pelicana,개포점,서울,강남구,서울 강남구 논현로16길10-3,02-529-5557
19,pelicana,양평역점,서울,영등포구,서울 영등포구 영등포로55,02-2675-7787
20,pelicana,연제점,부산,연제구,부산 연제구 안연로30,051-715-8288
21,pelicana,나사렛역점,충남,천안시,충남 천안시 서북구 쌍용19로21,041-571-9292
22,pelicana,광교웰빙타운점,경기,수원시,경기 수원시 영통구 대학로101,031-216-8818
23,pelicana,만수시장점,인천,남동구,인천 남동구 만수로7,032-465-7479
24,pelicana,산본역점,경기,군포시,경기 군포시 번영로495,031-391-7776
25,pelicana,경성부경대점,부산,남구,부산 남구 수영로266번길108,051-256-8066
26,pelicana,송산효자점,경기,의정부시,경기 의정부시 부용로 207-1,031-928-6633
27,pelicana,거여점,서울,송파구,서울 송파구 오금로64길3,02-402-9288
28,pelicana,신월남부점,서울,양천구,서울 양천구 오목로15,02-2694-0310
29,pelicana,화곡역점,서울,강서구,서울 강서구 화곡로31다길20,02-2604-2299
30,pelicana,영통구청점,경기,수원시,경기 수원시 영통구 인계로292번길42-5,031-212-3451
31,pelicana,백양점,부산,부산진구,부산 부산진구 개금본동로17번길10,051-987-1059
32,pelicana,논산내동점,충남,논산시,충남 논산시 시민로132번길48,041-733-9982
33,pelicana,성본점,충북,음성군,충북 음성군 대소면 성본상가로49,043-877-8292
34,pelicana,죽변항점,경북,울진군,경북 울진군 죽변면 죽변중앙로168-58,054-782-8259
35,pelicana,복현점,대구,북구,대구 북구 동북로61길11-2,053-944-8292
36,pelicana,만촌점,대구,수성구,대구 수성구 만촌로49-2,053-741-7779
37,pelicana,대구불로점,대구,동구,대구 동구 팔공로31길6-3,053-985-1839
38,pelicana,대구시청점,대구,중구,대구 중구 경상감영길227,053-255-3303
39,pelicana,공릉점,서울,노원구,서울 노원구 동일로173가길64,02-971-9282
40,pelicana,신촌점,서울,서대문구,서울 서대문구 이화여대3길27,02-363-9282
41,pelicana,목행점,충북,충주시,충북 충주시 행정9길32,043-723-1315
42,pelicana,고한사북점,강원,정선군,강원 정선군 고한읍 고한2길55,033-591-4477
43,pelicana,둔내점,강원,횡성군,강원 횡성군 둔내면 둔내로56,033-344-9192
44,pelicana,엄궁점,부산,사상구,부산 사상구 대동로40,051-322-5785
45,pelicana,통진점,경기,김포시,경기 김포시 통진읍 마송1로9,031-996-2221
46,pelicana,대림점,서울,영등포구,서울 영등포구 디지털로397,02-833-8292
47,pelicana,원미점,경기,부천시,경기 부천시 원미구 조종로7번길33,032-666-6668
48,pelicana,광명소하점,경기,광명시,경기 광명시 소하로92번길12,02-899-5589
49,pelicana,산곡점,인천,부평구,인천 부평구 화랑북로7,032-513-8882
50,pelicana,동수역점,인천,부평구,인천 부평구 동수로7,032-501-9341
51,pelicana,사송점,경남,양산시,경남 양산시 동면 내송큰들로141,055-785-0301
52,pelicana,동래시장점,부산,동래구,부산 동래구 명륜로112번길41,051-555-8485
53,pelicana,송탄신장점,경기,평택시,경기 평택시 지산로11번길6,031-666-2095
54,pelicana,일동점,경기,안산시,경기 안산시 상록구 석삼말로19,031-408-0819
55,pelicana,풍무역점,경기,김포시,경기 김포시 풍무로176,031-988-4888
56,pelicana,운남점,인천,중구,인천 중구 흰바위로284,032-751-3355
57,pelicana,석바위시장역점,인천,남동구,인천 남동구 구월로40번길13,032-710-6424
58,pelicana,세류2점,경기,수원시,경기 수원시 권선구 정조로431-2,031-222-7292
59,pelicana,호계점,경기,안양시,경기 안양시 동안구 엘에스로45번길20,031-427-9969
60,pelicana,강남반포점,서울,서초구,서울 서초구 강남대로79길48,02-545-1005
61,pelicana,둔촌점,서울,강동구,서울 강동구 명일로13길20,02-476-2016
62,pelicana,상도점,서울,동작구,서울 동작구 상도로30길19,02-6080-5280
63,pelicana,남산외대점,부산,금정구,"부산 금정구 남산로28, 1층(남산동, 산정빌딩)",051-517-9989
64,pelicana,오전점,경기,의왕시,경기 의왕시 전주남이길8,031-427-9989
